"","hh_id","indv_id","age_hh_member","gender_hh_member","relations_hh_member","disablity_hh_member","hh_compos_hh_members_Education_E1_SS_ATT_EDU","hh_compos_hh_members_Education_E2_SM_RES_NO_EDU","hh_compos_hh_members_Education_E2_SM_RES_NO_EDU_distance_learning","hh_compos_hh_members_Education_E2_SM_RES_NO_EDU_waiting_for_resp","hh_compos_hh_members_Education_E2_SM_RES_NO_EDU_intention_to_move","hh_compos_hh_members_Education_E2_SM_RES_NO_EDU_errors_with_applicaiton","hh_compos_hh_members_Education_E2_SM_RES_NO_EDU_no_space","hh_compos_hh_members_Education_E2_SM_RES_NO_EDU_not_available","hh_compos_hh_members_Education_E2_SM_RES_NO_EDU_language_barrier","hh_compos_hh_members_Education_E2_SM_RES_NO_EDU_lack_sch_mat","hh_compos_hh_members_Education_E2_SM_RES_NO_EDU_lack_it_equip","hh_compos_hh_members_Education_E2_SM_RES_NO_EDU_lack_sch_meal","hh_compos_hh_members_Education_E2_SM_RES_NO_EDU_lack_sch_acc_dist","hh_compos_hh_members_Education_E2_SM_RES_NO_EDU_lack_incl_sch","hh_compos_hh_members_Education_E2_SM_RES_NO_EDU_lack_cert","hh_compos_hh_members_Education_E2_SM_RES_NO_EDU_lack_info_ser","hh_compos_hh_members_Education_E2_SM_RES_NO_EDU_donot_want_burden","hh_compos_hh_members_Education_E2_SM_RES_NO_EDU_donot_want_loose","hh_compos_hh_members_Education_E2_SM_RES_NO_EDU_DoNotKnow"
"1",1002460,1538312,"60+","male","partner","lot_difficulty",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",1005410,1581046,"19-34","male","partner","no_difficulty",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",1005410,1544750,"5-11","male","child","no_difficulty","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",1007031,1627351,"19-34","male","partner","no_difficulty",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",1013355,1794237,"35-59","male","partner","no_difficulty",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",1013355,1526964,"12-17","female","child","no_difficulty","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",1013355,1787949,"3-4","male","child",NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",1015153,1508066,"35-59","male","partner","no_difficulty",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",1015153,1029708,"5-11","female","child","no_difficulty","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",1015153,1756576,"0-2","male","child",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",1015836,1278719,"19-34","female","child","no_difficulty",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
