oblast_or_country;pcode;gid_1;# total population ;# female population ;# male population ;# female younger population (0 - 14 years);# male younger population (0 - 14 years);# total younger population (0 - 14 years);# female older population (60 years and up);# male older population (60 years and up);# total older population (60 years and up);# people displaced;# outgoing refugees since February 2022;# registered IDPs;# people moving back;# people exposed;# people affected;# people in need ;# people in level 1 humanitarian condition;# people in level 2 humanitarian condition;# people in level 3 humanitarian condition;# people in level 4 humanitarian condition;# people in level 5 humanitarian condition;# km² landmass affected;# km² controlled by Ukrainian authorities/forces;# km² controlled by Russian forces;# km² unconfirmed control;# battles;# explosions/remote violence;# violence against civilians;# fatalities;# civilian fatalities;# civilian injuries;# total infrastructure damage;# USD cost of damage;# total access events;# PIN food security and livelihoods;# PIN shelter and NFIs;# PIN CCCM;# PIN WASH;# PIN health;# PIN protection;# PIN child protection;# PIN gender-based violence;# PIN education;# PIN mine action;# PIN cash assistance;# USD GDP per capita;poverty rate;% inflation rate ;# unemployed people;Consumer price index;% variation in raw food prices;% variation in administered prices;% variation in fuel prices;# USD cost of reconstruction and recovery;# EUR currency value;# USD currency value;# USD in minimum wage;# USD in minimum pension;# USD in living wage;period
Ukraine;;;37516254;23249472;20070682;3163786;3364378;6528164;6849670;3868794;10718464;14662900.0;6863400.0;3310668.0;4238000.0;37516254;16260529.0;12708866.0;21216254.0;3551662.613;7874000.0;3556000;1270000;599896;490548;107654;1694;438;701;0;1225;12605.0;29178.0;630;170000000000.0;312;5000000.0;6900000.0;149000.0;8500000.0;9200000.0;9500000.0;3500000.0;2400000.0;1600000.0;5400000.0;1400000.0;5069.703125;0.234;0.129;94190.0;495.2;0.118;0.175;0.121;524000000000.0;43.5097;41.8242;190.3424;56.1748;72.0446;Jan2025
Autonomous Republic of Crimea;UA01;UKR.4_1;1929001;1044581;884420;165608;175331;340939;302930;166038;468968;;;;;1929001;;;;;;0;0;25558;0;25558;0;0;1;0;0;;;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;Jan2025
Cherkaska;UA71;UKR.1_1;1200000;624475;532640;75552;81536;157088;196700;110769;307469;;;121260.0;44000.0;1200000;381757.0;277143.0;978031.0;104613.9121;160818.0;0;0;20940;20940;0;0;0;3;0;0;1.0;6.0;10;;5;;;;;;;;;;;;;;;3516.0;;;;;;;;;;;Jan2025
Chernihivska;UA74;UKR.2_1;897000;518447;432326;61356;64084;125440;174896;90800;265696;;;57466.0;170000.0;897000;513168.0;361071.0;466278.0;152097.0;386166.0;0;0;31895;31895;0;0;0;70;0;0;489.0;735.0;22;;6;;;;;;;;;;;;;;;4568.0;;;;;;;;;;;Jan2025
Chernivetska;UA73;UKR.3_1;728000;468777;418615;73482;78391;151873;116988;69688;186676;;;75285.0;17000.0;728000;149254.0;127824.0;524336.0;21430.07347;173752.0;0;0;8095;8095;0;0;0;0;0;0;0.0;0.0;0;;4;;;;;;;;;;;;;;;1714.0;;;;;;;;;;;Jan2025
Dnipropetrovska;UA12;UKR.5_1;3200000;1680750;1412426;226943;240091;467034;503014;265558;768572;;;379610.0;257000.0;3200000;2269407.0;1846204.0;1596472.0;423203.3005;750984.0;769968;0;31910;31910;0;0;0;24;0;2;157.0;530.0;124;;5;;;;;;;;;;;;;;;7867.0;;;;;;;;;;;Jan2025
Donetska;UA14;UKR.6_1;693000;2207252;1839235;204708;218811;423519;810872;465603;1276475;;;94186.0;;693000;538397.0;538397.0;367.0;0.0;0.0;440100;252533;26500;10689;15686;125;306;87;0;510;2167.0;3263.0;162;;63;;;;;;;;;;;;;;;4990.0;;;;;;;;;;;Jan2025
Ivano-Frankivska;UA26;UKR.7_1;1100000;711226;637870;108676;115708;224384;181690;108256;289946;;;112025.0;46000.0;1100000;370277.0;219500.0;801798.0;150777.4784;221056.0;0;0;13933;13933;0;0;0;1;0;0;0.0;0.0;2;;5;;;;;;;;;;;;;;;2703.0;;;;;;;;;;;Jan2025
Kharkivska;UA63;UKR.8_1;1800000;1384642;1198683;169358;180505;349863;412784;224680;637464;;;392191.0;679000.0;1800000;1639537.0;1543942.0;87900.0;95594.83792;1522609.0;92655;72649;31435;30395;986;54;82;41;0;100;1782.0;2607.0;56;;12;;;;;;;;;;;;;;;7282.0;;;;;;;;;;;Jan2025
Khersonska;UA65;UKR.9_1;298369;535440;464726;76623;81913;158536;153827;84911;238738;;;33036.0;;298369;141209.0;141209.0;0.0;0.0;0.0;32939;265430;26657;6701;18750;1206;14;196;0;561;832.0;847.0;57;;45;;;;;;;;;;;;;;;2624.0;;;;;;;;;;;Jan2025
Khmelnytska;UA68;UKR.10_1;1100000;655503;570163;92902;97681;190583;193654;109045;302699;;;67404.0;43000.0;1100000;397817.0;268026.0;751516.0;129791.1442;289076.0;0;0;20628;20628;0;0;0;2;0;0;0.0;0.0;1;;2;;;;;;;;;;;;;;;3155.0;;;;;;;;;;;Jan2025
Kirovohradska;UA35;UKR.13_1;929000;483025;414272;63954;67838;131792;148637;82051;230688;;;82530.0;32000.0;929000;318966.0;251205.0;717692.0;67760.94226;177473.0;0;0;24578;24578;0;0;0;0;0;0;6.0;13.0;2;;5;;;;;;;;;;;;;;;4153.0;;;;;;;;;;;Jan2025
Kyiv;UA80;UKR.11_1;3500000;1568793;1342201;232566;248470;481036;401501;236765;638266;;;;898000.0;3500000;1544744.0;901205.0;1283963.0;643538.949;1803443.0;0;0;834;834;0;0;0;4;0;0;72.0;114.0;21;;4;;;;;;;;;;;;;;;1686.0;;;;;;;;;;;Jan2025
Kyivska;UA32;UKR.12_1;2700000;969870;819430;153069;163542;316611;253461;137057;390518;;;254555.0;606000.0;2700000;1152992.0;738023.0;1335033.0;414968.9227;933794.0;0;0;28132;28132;0;0;0;1;0;0;2290.0;734.0;22;;7;;;;;;;;;;;;;;;3858.0;;;;;;;;;;;Jan2025
Luhanska;UA44;UKR.15_1;532000;1136515;961809;91298;98018;189316;436762;256423;693185;;;;;532000;467304.0;339253.0;389.0;128051.12;245748.0;33047;252816;26688;323;26287;78;22;1;0;2;725.0;971.0;0;;47;;;;;;;;;;;;;;;1373.0;;;;;;;;;;;Jan2025
Lvivska;UA46;UKR.14_1;2400000;1294772;1164991;192773;203584;396357;343762;206012;549774;;;207109.0;113000.0;2400000;649824.0;417346.0;1611476.0;232477.6065;725016.0;0;0;21824;21824;0;0;0;0;0;0;4.0;16.0;3;;3;;;;;;;;;;;;;;;3302.0;;;;;;;;;;;Jan2025
Mykolaivska;UA48;UKR.16_1;643000;584957;506149;79731;85170;164901;170974;95197;266171;;;113252.0;251000.0;643000;550010.0;545163.0;118085.0;4847.080886;77302.0;62381;379753;24016;23886;119;11;0;5;0;2;490.0;1281.0;17;;9;;;;;;;;;;;;;;;4909.0;;;;;;;;;;;Jan2025
Odeska;UA51;UKR.17_1;2100000;1237452;1102880;189998;203812;393810;333832;194370;528202;;;179041.0;180000.0;2100000;1372598.0;942736.0;596342.0;429861.8174;1127340.0;0;0;33348;33348;0;0;0;5;0;0;34.0;92.0;31;;11;;;;;;;;;;;;;;;5031.0;;;;;;;;;;;Jan2025
Poltavska;UA53;UKR.18_1;1400000;722656;621789;91171;97568;188739;219156;120834;339990;;;162827.0;57000.0;1400000;558861.0;366696.0;996582.0;192165.114;353582.0;0;0;28723;28723;0;0;0;2;0;0;24.0;119.0;5;;6;;;;;;;;;;;;;;;6134.0;;;;;;;;;;;Jan2025
Rivnenska;UA56;UKR.19_1;938000;598625;542099;111755;117385;229140;138715;81699;220414;;;44659.0;40000.0;938000;168921.0;113107.0;776506.0;55814.14683;123594.0;0;0;20053;20053;0;0;0;0;0;0;4.0;13.0;0;;2;;;;;;;;;;;;;;;4103.0;;;;;;;;;;;Jan2025
Sevastopol;UA85;UKR.20_1;393455;214172;179283;32884;34455;67339;64229;32884;97113;;;;;393455;;;;;;0;0;57;0;57;0;0;0;0;0;;;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;Jan2025
Sumska;UA59;UKR.21_1;858000;558993;474587;64296;68282;132578;177893;100633;278526;;;90309.0;143000.0;858000;695803.0;588793.0;110434.0;107009.8694;638419.0;64851;0;23842;23842;0;0;0;193;0;21;160.0;209.0;42;;21;;;;;;;;;;;;;;;4055.0;;;;;;;;;;;Jan2025
Ternopilska;UA61;UKR.22_1;763000;541302;477160;76461;80396;156857;147742;86344;234086;;;64908.0;24000.0;763000;224430.0;191598.0;582609.0;32831.54403;144978.0;0;0;13833;13833;0;0;0;0;0;0;0.0;0.0;0;;2;;;;;;;;;;;;;;;1984.0;;;;;;;;;;;Jan2025
Vinnytska;UA05;UKR.24_1;1400000;805537;696893;110508;117742;228250;238346;134465;372811;;;144638.0;75000.0;1400000;380010.0;322290.0;978424.0;57720.06595;366006.0;0;0;26491;26491;0;0;0;0;0;0;24.0;204.0;0;;4;;;;;;;;;;;;;;;4865.0;;;;;;;;;;;Jan2025
Volynska;UA07;UKR.25_1;883000;537725;480903;95205;101245;196450;129037;73972;203009;;;43471.0;46000.0;883000;171218.0;128029.0;715723.0;43188.90693;137417.0;0;0;20149;20149;0;0;0;0;0;0;1.0;1.0;0;;4;;;;;;;;;;;;;;;2330.0;;;;;;;;;;;Jan2025
Zakarpatska;UA21;UKR.23_1;922000;644559;597084;117513;124691;242204;141186;88706;229892;;;125484.0;12000.0;922000;352287.0;299400.0;606219.0;52887.09475;286842.0;0;0;12758;12758;0;0;0;0;0;0;0.0;0.0;0;;13;;;;;;;;;;;;;;;1281.0;;;;;;;;;;;Jan2025
Zaporizka;UA23;UKR.26_1;1100000;889959;747714;112990;119983;232973;277337;147331;424668;;;159178.0;;1100000;1013822.0;1013822.0;47420.0;0.0;0.0;820282;193217;27180;6749;20211;220;14;64;0;27;363.0;1010.0;51;;23;;;;;;;;;;;;;;;1956.0;;;;;;;;;;;Jan2025
